YEAR	Month	Flux	Sunspot
1965	4	71.98	10.2
1965	5	78.15	34.5
1965	6	76.97	23.3
1965	7	74.35	17.3
1965	8	74.7	13.3
1965	9	76.52	24.5
1965	10	80.14	29.1
1965	11	77.64	22.8
1965	12	77.73	24.7
1966	1	87.87	40.3
1966	2	84.21	35.3
1966	3	90.28	36.4
1966	4	97.16	69
1966	5	98.53	64.2
1966	6	96.3	67.7
1966	7	106.67	80.2
1966	8	106.6	72.6
1966	9	110.88	71.1
1966	10	108.58	81.2
1966	11	113.31	81
1966	12	124.57	99.8
1967	1	147.74	157
1967	2	147.02	132.6
1967	3	160.59	158.3
1967	4	129.88	98.4
1967	5	142.96	122.5
1967	6	120.23	95.4
1967	7	140.33	129.5
1967	8	153.74	151.8
1967	9	132.08	108.7
1967	10	136.06	125
1967	11	145.3	133.6
1967	12	163.04	179
1968	1	189.12	172.5
1968	2	173.18	158.5
1968	3	142.63	130.5
1968	4	129.48	115
1968	5	154.88	180
1968	6	142.28	156.2
1968	7	137.16	136.2
1968	8	142.17	154.8
1968	9	140.95	166
1968	10	152.48	152.5
1968	11	138.54	121.7
1968	12	148.44	155.5
1969	1	152.65	147.8
1969	2	155.21	170.5
1969	3	172.25	192.3
1969	4	155.5	151.1
1969	5	145.43	169.9
1969	6	162.15	150.1
1969	7	136.61	137.1
1969	8	143.02	138.8
1969	9	137.31	129.3
1969	10	154.02	135.4
1969	11	156.69	132.4
1969	12	143.64	138.6
1970	1	158.27	157.9
1970	2	175.44	180.8
1970	3	158.36	145.7
1970	4	161.99	155.1
1970	5	168.38	180.5
1970	6	154.93	151.3
1970	7	151.99	159.3
1970	8	138.21	131.7
1970	9	143.24	140.8
1970	10	148.31	122.6
1970	11	162.03	134.8
1970	12	152.75	118.2
1971	1	162.58	129.2
1971	2	137.79	111.8
1971	3	111.93	85.9
1971	4	116.67	101.6
1971	5	109.91	81.5
1971	6	101.65	70.7
1971	7	117.35	114.7
1971	8	114.07	87
1971	9	104.04	71.3
1971	10	107.17	73.4
1971	11	114.02	89.5
1971	12	124.54	116.5
1972	1	114.78	87
1972	2	141.79	125.3
1972	3	128.48	113.5
1972	4	112.89	89.6
1972	5	129.59	113.9
1972	6	135.43	124.7
1972	7	122	108.3
1972	8	125.73	108.9
1972	9	113.65	90.7
1972	10	121.1	86.9
1972	11	101.64	59.2
1972	12	102.9	64.3
1973	1	102.21	61.8
1973	2	98.67	60.9
1973	3	100.39	65.4
1973	4	105.03	81.8
1973	5	96.98	60.3
1973	6	91.24	56.1
1973	7	84.47	33.2
1973	8	82.88	36.6
1973	9	105.64	84.1
1973	10	87.73	43.7
1973	11	81.52	34.3
1973	12	84.17	33.3
1974	1	83.1	39.4
1974	2	80.85	37.3
1974	3	79.22	30.9
